time,algae,rotifers,egg_ratio,eggs,dead_animals,external_medium,cycle_id
94.93,6.34,17.26,0.0,0.0,2.81,160.0,C6
96.01,2.8,13.85,1.1,15.25,3.61,160.0,C6
96.95,4.51,43.95,0.46,20.27,3.21,160.0,C6
97.91,4.65,74.05,0.3,21.87,2.01,160.0,C6
98.98,2.23,60.8,0.17,10.23,0.8,160.0,C6
100.09,3.63,22.27,0.0,0.0,2.81,160.0,C6
101.11,3.85,18.86,0.35,6.62,2.01,160.0,C6
101.9,4.42,12.24,0.77,9.43,3.01,160.0,C6
102.92,4.83,18.26,0.22,4.01,1.61,160.0,C6
103.9,4.98,38.93,0.47,18.46,1.0,160.0,C6
104.89,3.42,76.66,0.37,28.5,3.01,160.0,C6
105.92,2.95,82.48,0.16,13.24,3.01,160.0,C6
106.97,0.17,52.78,0.07,3.61,2.61,160.0,C6
108.06,0.44,19.26,0.07,1.4,10.43,160.0,C6
108.9,0.77,6.62,0.42,2.81,3.01,160.0,C6
109.91,0.91,12.84,0.63,8.03,1.0,160.0,C6
110.93,1.09,18.26,0.41,7.42,1.0,160.0,C6
111.92,0.92,28.5,0.53,15.05,1.61,160.0,C6
112.97,0.48,8.83,0.45,4.01,0.4,160.0,C6
113.96,0.14,60.0,0.13,7.83,1.0,160.0,C6
115.05,0.34,84.08,0.1,8.43,4.01,160.0,C6
115.9,0.43,51.17,0.22,11.24,5.02,160.0,C6
116.91,0.58,26.89,0.49,13.24,3.61,160.0,C6
117.96,0.95,16.25,0.33,5.42,2.01,160.0,C6
118.94,1.85,26.29,0.67,17.66,1.61,160.0,C6
120.04,4.45,54.58,0.58,31.71,5.02,160.0,C6
121.35,3.59,80.07,0.12,9.23,3.01,160.0,C6
122.39,3.72,52.17,0.43,22.48,3.61,160.0,C6
122.92,3.65,64.01,0.14,9.23,4.41,160.0,C6
123.92,2.12,36.12,0.68,24.68,3.01,160.0,C6
124.95,4.7,59.6,0.29,17.06,2.01,160.0,C6
125.96,1.46,46.35,0.15,7.02,3.01,160.0,C6
126.92,6.62,24.28,0.06,1.4,3.61,160.0,C6
128.14,1.08,15.05,0.24,3.61,1.61,160.0,C6
129.01,1.15,12.64,0.35,4.41,1.2,160.0,C6
129.91,1.33,9.03,1.0,9.03,0.4,160.0,C6
130.93,1.2,18.86,0.54,10.23,1.0,160.0,C6
131.9,0.69,49.97,0.61,30.7,1.4,160.0,C6
132.9,0.58,89.5,0.34,30.5,1.0,160.0,C6
133.9,1.96,76.66,0.23,17.26,1.81,160.0,C6
134.95,1.29,59.0,0.27,15.85,2.41,160.0,C6
135.97,1.36,41.54,0.15,6.22,2.01,160.0,C6
136.93,1.42,26.89,0.29,7.83,4.21,160.0,C6
137.93,2.43,27.29,0.76,20.67,2.21,160.0,C6
138.94,1.74,42.34,0.6,25.28,1.2,160.0,C6
139.93,2.81,64.21,0.5,31.91,1.4,160.0,C6
140.92,2.37,88.09,0.45,39.93,1.2,160.0,C6
141.96,2.0,75.65,0.13,10.03,2.21,160.0,C6
142.96,1.81,36.92,0.04,1.61,3.21,160.0,C6
143.9,1.36,12.44,0.08,1.0,1.2,160.0,C6
144.89,2.13,6.42,0.38,2.41,1.2,160.0,C6
146.21,3.45,6.02,0.73,4.41,0.6,160.0,C6
146.87,2.97,10.64,0.66,7.02,0.2,160.0,C6
147.89,4.07,20.07,0.71,14.25,0.2,160.0,C6
149.1,6.6,63.81,0.75,47.76,0.4,160.0,C6
150.14,4.12,113.98,0.37,42.34,0.2,160.0,C6
150.9,2.42,99.33,0.24,24.28,0.4,160.0,C6
151.9,2.92,70.03,0.1,6.82,2.41,160.0,C6
152.9,3.34,38.73,0.11,4.21,5.22,160.0,C6
153.89,1.27,9.03,0.36,3.21,1.61,160.0,C6
155.3,3.02,10.84,0.28,3.01,1.0,160.0,C6
156.19,3.2,21.87,0.78,17.06,0.2,160.0,C6
157.21,3.4,50.37,0.78,39.33,0.6,160.0,C6
157.98,2.9,87.69,0.67,58.6,1.61,160.0,C6
158.46,2.5,119.0,0.09,11.24,2.21,160.0,C6
159.13,,,0.08,,7.02,160.0,C6
159.9,1.28,64.82,0.12,5.22,4.21,160.0,C6
160.87,1.35,19.47,0.3,2.41,1.2,160.0,C6
161.87,3.01,11.44,0.81,3.41,0.4,160.0,C6
163.04,4.9,8.43,0.98,6.82,0.6,160.0,C6
164.04,4.56,21.87,0.74,21.47,1.0,160.0,C6
164.86,3.75,55.99,0.24,41.34,1.4,160.0,C6
165.87,3.41,109.16,0.06,26.29,7.22,160.0,C6
166.87,3.82,74.25,0.15,4.82,6.02,160.0,C6
167.85,2.28,19.67,0.51,3.01,1.2,160.0,C6
168.87,2.53,7.83,0.83,4.01,1.2,160.0,C6
170.05,6.1,10.64,0.83,8.83,0.2,160.0,C6
171.04,6.41,20.27,0.89,18.06,1.0,160.0,C6
171.86,4.42,47.76,0.93,44.55,0.6,160.0,C6
172.87,5.05,98.33,0.2,19.47,1.2,160.0,C6
174.05,3.72,76.46,0.02,1.81,5.22,160.0,C6
174.86,3.19,60.4,0.18,10.84,2.41,160.0,C6
176.06,2.02,41.74,0.49,20.27,2.01,160.0,C6
177.15,2.43,36.52,0.1,3.61,3.21,160.0,C6
178.0,1.63,36.12,0.45,16.25,1.0,160.0,C6
179.15,1.7,39.93,0.1,4.01,1.61,160.0,C6
179.89,1.53,17.26,0.28,4.82,2.01,160.0,C6
180.87,3.98,31.1,0.56,17.46,0.8,160.0,C6
181.86,2.49,32.91,0.55,18.06,2.21,160.0,C6
182.87,2.28,65.82,0.33,21.67,3.61,160.0,C6
183.87,2.46,80.07,0.5,39.93,4.21,160.0,C6
185.17,2.4,41.74,0.1,4.01,5.82,160.0,C6
185.87,2.3,28.29,0.11,3.01,5.22,160.0,C6
186.9,1.39,21.67,0.24,5.22,3.01,160.0,C6
187.89,1.56,8.23,0.34,2.81,0.8,160.0,C6
188.92,2.51,36.32,0.48,17.46,3.01,160.0,C6
189.93,1.17,55.99,0.33,18.26,2.01,160.0,C6
191.0,1.72,71.44,0.18,13.04,2.01,160.0,C6
191.97,1.53,52.98,0.22,11.84,3.81,160.0,C6
192.91,1.35,40.94,0.18,7.42,3.21,160.0,C6
193.9,2.66,31.71,0.35,11.04,5.22,160.0,C6
194.88,2.24,22.07,0.32,7.02,3.41,160.0,C6
195.89,2.17,20.07,0.14,2.81,1.0,160.0,C6
196.94,2.03,20.07,0.14,2.81,1.0,160.0,C6
198.16,1.38,43.14,0.31,13.44,1.61,160.0,C6
198.93,1.98,55.99,0.45,25.28,2.81,160.0,C6
199.9,2.0,33.91,0.23,7.83,6.82,160.0,C6
200.91,1.95,59.0,0.69,40.94,6.02,160.0,C6
202.0,0.63,41.74,0.26,11.04,3.21,160.0,C6
202.88,1.34,33.71,0.05,1.61,2.01,160.0,C6
204.0,2.34,22.07,0.11,2.41,3.01,160.0,C6
205.24,2.95,18.86,0.44,8.23,1.61,160.0,C6
205.96,2.36,29.7,0.28,8.23,1.0,160.0,C6
