time,algae,rotifers,egg_ratio,eggs,dead_animals,external_medium,cycle_id
129.91,1.17,34.52,0.11,3.81,2.41,160.0,C7
130.93,1.21,31.3,0.04,1.2,3.21,160.0,C7
131.9,0.67,40.33,0.2,8.23,1.4,160.0,C7
132.9,0.82,39.53,0.55,21.87,1.2,160.0,C7
133.9,2.06,51.57,0.38,19.67,1.81,160.0,C7
134.95,1.19,54.58,0.25,13.85,3.21,160.0,C7
135.97,1.19,51.17,0.2,10.03,2.61,160.0,C7
136.93,1.53,38.73,0.46,17.86,2.81,160.0,C7
137.93,2.37,43.95,0.59,25.89,2.81,160.0,C7
138.94,1.52,65.62,0.3,19.67,2.21,160.0,C7
139.93,1.84,53.38,0.27,14.45,4.41,160.0,C7
140.92,2.6,34.11,0.39,13.24,0.6,160.0,C7
141.96,2.45,55.59,0.19,10.84,3.01,160.0,C7
142.96,2.27,37.73,0.1,3.81,2.01,160.0,C7
143.9,2.28,20.67,0.19,4.01,1.81,160.0,C7
144.89,2.59,11.64,0.47,5.42,3.81,160.0,C7
146.21,3.62,20.07,0.73,14.65,1.2,160.0,C7
146.87,3.15,31.3,0.79,24.68,0.6,160.0,C7
147.89,3.3,83.48,0.35,29.5,1.2,160.0,C7
149.1,2.92,127.22,0.14,17.26,2.81,160.0,C7
150.14,3.63,67.22,0.06,4.21,4.01,160.0,C7
150.9,1.61,31.3,0.18,5.62,9.63,160.0,C7
151.9,3.78,20.67,0.31,6.42,5.62,160.0,C7
152.9,4.53,10.84,1.04,11.24,1.61,160.0,C7
153.89,3.26,24.28,0.58,14.05,0.8,160.0,C7
155.3,2.39,61.81,0.33,20.47,1.81,160.0,C7
156.19,2.24,66.22,0.2,13.24,2.41,160.0,C7
157.21,2.03,47.76,0.14,6.82,4.62,160.0,C7
157.98,1.99,38.73,0.29,11.24,3.61,160.0,C7
158.46,,,,,,160.0,C7
159.13,3.87,24.28,0.33,8.03,1.4,160.0,C7
159.9,2.71,19.26,0.81,15.65,1.81,160.0,C7
160.87,2.46,39.73,0.17,29.7,0.8,160.0,C7
161.87,3.19,77.46,0.09,12.84,1.4,160.0,C7
163.04,3.04,44.35,0.2,4.01,4.41,160.0,C7
164.04,3.12,26.09,0.38,5.22,5.82,160.0,C7
164.86,4.65,16.25,1.11,6.22,1.0,160.0,C7
165.87,3.43,16.66,3.0,18.46,0.6,160.0,C7
166.87,1.98,39.53,0.2,32.11,0.4,160.0,C7
167.85,3.11,72.04,0.23,14.45,1.0,160.0,C7
168.87,3.11,82.07,0.11,18.66,2.81,160.0,C7
170.05,4.85,71.04,0.11,8.03,2.21,160.0,C7
171.04,4.34,36.32,0.04,1.4,5.02,160.0,C7
171.86,3.74,15.45,0.06,1.0,4.62,160.0,C7
172.87,4.65,4.62,1.13,5.22,0.4,160.0,C7
174.05,4.37,13.65,0.6,8.23,1.0,160.0,C7
174.86,3.59,14.25,0.41,5.82,1.81,160.0,C7
176.06,2.56,40.33,0.94,37.93,2.01,160.0,C7
177.15,2.28,57.59,0.14,7.83,1.0,160.0,C7
178.0,0.85,83.88,0.07,5.82,2.01,160.0,C7
179.15,1.55,55.99,0.05,3.01,2.01,160.0,C7
179.89,1.67,24.88,0.09,2.21,5.02,160.0,C7
180.87,1.86,11.64,0.33,3.81,0.4,160.0,C7
181.86,2.6,23.48,0.76,17.86,1.61,160.0,C7
182.87,2.5,55.99,0.49,27.69,4.01,160.0,C7
183.87,2.73,68.23,0.21,14.25,4.82,160.0,C7
185.17,2.4,33.71,0.13,4.21,5.42,160.0,C7
185.87,1.6,15.65,0.18,2.81,7.22,160.0,C7
186.9,1.68,10.84,0.37,4.01,2.41,160.0,C7
187.89,2.37,5.42,0.07,0.4,3.81,160.0,C7
188.92,2.53,12.24,0.43,5.22,2.41,160.0,C7
189.93,2.38,20.87,0.37,7.63,2.01,160.0,C7
191.0,2.16,25.69,0.14,3.61,3.41,160.0,C7
191.97,2.28,39.93,0.04,1.61,2.01,160.0,C7
192.91,1.57,36.12,0.28,10.23,1.61,160.0,C7
193.9,2.66,28.9,0.11,3.21,5.82,160.0,C7
194.88,2.24,19.87,0.31,6.22,4.21,160.0,C7
195.89,2.06,13.65,0.38,5.22,1.81,160.0,C7
196.94,1.78,23.68,0.26,6.22,1.61,160.0,C7
198.16,1.63,39.93,0.24,9.43,2.01,160.0,C7
198.93,1.93,20.87,0.33,6.82,3.01,160.0,C7
199.9,2.23,26.89,0.16,4.41,2.01,160.0,C7
200.91,4.14,21.67,0.56,12.24,3.01,160.0,C7
202.0,1.89,44.55,0.51,22.88,5.02,160.0,C7
202.88,1.5,60.0,0.15,8.83,3.61,160.0,C7
204.0,2.52,38.33,0.04,1.61,5.02,160.0,C7
205.24,2.56,21.07,0.1,2.01,5.82,160.0,C7
205.96,2.72,17.66,0.18,3.21,2.81,160.0,C7
206.97,2.54,34.31,0.34,11.64,2.41,160.0,C7
207.87,3.81,55.38,0.62,34.31,2.01,160.0,C7
208.87,1.57,96.12,0.15,14.85,76.25,160.0,C7
210.05,4.25,29.9,0.07,2.01,9.83,160.0,C7
210.87,4.85,12.64,0.0,0.0,7.63,160.0,C7
212.2,5.15,16.66,0.59,9.83,1.61,160.0,C7
212.86,5.12,25.89,0.55,14.25,2.01,160.0,C7
213.89,4.51,59.8,0.37,22.27,1.61,160.0,C7
214.87,4.4,40.33,0.17,7.02,6.42,160.0,C7
215.86,4.98,32.11,0.07,2.21,3.61,160.0,C7
217.05,2.96,20.27,0.16,3.21,2.41,160.0,C7
217.87,1.87,5.82,0.14,0.8,2.41,160.0,C7
218.89,2.58,8.83,0.43,3.81,3.61,160.0,C7
220.23,5.61,35.92,0.45,16.25,2.01,160.0,C7
220.9,5.93,64.01,0.4,25.49,3.41,160.0,C7
221.84,6.62,73.85,0.08,6.02,4.41,160.0,C7
222.88,5.02,36.12,0.06,2.01,3.41,160.0,C7
224.0,3.51,18.26,0.21,3.81,1.61,160.0,C7
225.0,7.5,34.52,0.49,16.86,2.81,160.0,C7
226.04,2.25,49.97,0.56,27.89,2.21,160.0,C7
227.02,1.86,67.83,0.16,10.84,1.61,160.0,C7
228.01,1.95,36.32,0.2,7.22,3.01,160.0,C7
229.07,1.95,32.31,0.37,11.84,1.61,160.0,C7
229.99,2.47,22.27,0.39,8.63,2.81,160.0,C7
231.07,2.16,20.87,0.38,7.83,1.61,160.0,C7
231.95,1.7,27.09,0.59,15.85,1.0,160.0,C7
232.97,1.72,45.35,0.59,26.89,1.61,160.0,C7
0.0,2.83,11.04,0.67,7.42,0.4,160.0,C8
0.89,2.31,28.9,0.56,16.25,0.0,0.0,C8
1.94,1.14,36.72,0.22,8.23,0.6,0.0,C8
2.92,0.44,22.27,0.07,1.61,1.0,0.0,C8
3.91,0.13,8.23,0.0,0.0,0.6,0.0,C8
4.97,0.15,1.61,0.0,0.0,1.2,160.0,C8
6.03,0.08,0.0,,0.0,0.0,160.0,C8
6.89,0.69,0.0,,0.0,0.0,160.0,C8
7.93,4.17,0.0,,0.2,0.0,160.0,C8
8.9,4.75,0.0,,0.0,0.0,0.0,C8
9.9,3.14,0.0,,1.0,0.0,0.0,C8
10.87,2.52,0.0,,0.0,0.0,0.0,C8
11.97,1.74,0.0,,0.0,0.0,0.0,C8
13.11,0.98,0.8,0.0,0.0,0.0,160.0,C8
13.89,0.48,0.4,0.0,0.0,0.0,160.0,C8
14.86,1.78,0.0,,0.0,0.0,160.0,C8
15.86,2.63,0.6,0.0,0.0,0.0,160.0,C8
16.9,3.34,1.61,0.38,0.6,0.0,0.0,C8
17.88,3.26,2.01,0.4,0.8,0.0,0.0,C8
19.14,0.38,6.82,0.18,1.2,0.0,0.0,C8
19.95,1.02,2.21,0.55,1.2,0.0,0.0,C8
20.89,0.39,3.41,0.06,0.2,0.0,160.0,C8
21.89,0.16,2.01,0.0,0.0,0.0,160.0,C8
22.9,0.57,0.0,,0.0,0.0,160.0,C8
23.87,1.37,4.21,0.19,0.8,0.2,160.0,C8
24.9,2.7,0.4,0.0,0.0,0.0,0.0,C8
26.0,3.1,17.86,0.43,7.63,0.2,0.0,C8
27.05,1.44,17.26,0.19,3.21,0.2,0.0,C8
27.9,0.52,21.07,0.05,1.0,0.0,0.0,C8
28.86,0.2,2.21,0.18,0.4,0.4,160.0,C8
29.89,0.12,3.41,0.06,0.2,0.2,160.0,C8
30.89,0.27,4.01,0.0,0.0,1.2,160.0,C8
31.88,1.91,1.2,1.0,1.2,0.4,160.0,C8
32.97,3.48,1.81,1.0,1.81,0.4,0.0,C8
34.19,3.56,3.21,0.75,2.41,0.2,0.0,C8
34.87,2.44,7.22,0.44,3.21,0.0,0.0,C8
35.88,1.02,16.86,0.43,7.22,0.6,0.0,C8
36.86,0.45,16.25,0.22,3.61,0.4,160.0,C8
37.93,0.15,7.63,0.05,0.4,2.01,160.0,C8
38.86,0.21,2.41,1.0,2.41,1.61,160.0,C8
39.89,1.97,3.01,0.2,0.6,2.41,160.0,C8
41.02,2.52,9.43,0.09,0.8,1.4,0.0,C8
41.9,3.03,14.45,0.33,4.82,1.0,0.0,C8
42.89,2.01,30.3,0.17,5.22,0.8,0.0,C8
43.86,0.77,23.08,0.09,2.01,0.6,0.0,C8
44.93,0.27,10.64,0.09,1.0,4.21,160.0,C8
45.82,0.1,2.61,0.0,0.0,1.61,160.0,C8
46.97,0.31,1.61,0.0,0.0,0.0,160.0,C8
48.05,1.27,3.41,0.18,0.6,0.4,160.0,C8
48.89,2.95,2.61,0.31,0.8,0.4,0.0,C8
49.9,3.54,6.82,0.56,3.81,0.0,0.0,C8
50.92,2.35,5.22,0.58,3.01,0.0,0.0,C8
51.91,2.35,12.84,0.17,2.21,0.8,0.0,C8
52.85,0.8,2.41,0.0,0.0,0.0,160.0,C8
53.97,0.39,3.61,0.0,0.0,0.0,160.0,C8
54.86,0.36,4.62,0.09,0.4,1.0,160.0,C8
55.87,0.84,4.41,0.41,1.81,1.61,160.0,C8
56.89,1.6,6.02,0.37,2.21,0.8,0.0,C8
57.87,3.06,18.26,0.2,3.61,0.4,0.0,C8
58.85,1.39,29.7,0.15,4.41,0.8,0.0,C8
59.91,0.62,21.27,0.08,1.81,1.0,0.0,C8
61.01,0.3,8.43,0.0,0.0,4.82,160.0,C8
62.06,0.1,1.81,0.0,0.0,0.4,160.0,C8
62.89,0.2,0.4,0.0,0.0,0.0,160.0,C8
63.93,0.84,0.0,,0.2,0.8,160.0,C8
64.86,3.31,4.62,0.09,0.4,0.0,0.0,C8
65.9,3.81,0.8,0.0,0.0,0.0,0.0,C8
66.88,2.49,3.61,0.22,0.8,1.0,0.0,C8
68.22,1.36,5.62,0.21,1.2,0.2,0.0,C8
69.3,0.78,8.03,0.1,0.8,0.0,160.0,C8
69.86,0.44,7.02,0.09,0.6,0.0,160.0,C8
70.9,0.39,5.82,0.55,3.21,1.61,160.0,C8
71.93,0.58,2.01,0.0,0.0,0.0,160.0,C8
72.88,1.29,12.44,0.47,5.82,1.0,0.0,C8
73.88,1.5,25.49,0.27,6.82,0.6,0.0,C8
75.01,0.55,34.52,0.09,3.21,0.8,0.0,C8
76.0,0.14,19.87,0.05,1.0,2.41,0.0,C8
76.87,0.14,1.61,0.0,0.0,5.22,160.0,C8
77.84,0.13,0.0,,0.0,0.4,160.0,C8
78.88,0.12,0.4,0.0,0.0,2.41,160.0,C8
79.92,0.6,0.0,,0.0,0.2,160.0,C8
80.91,2.03,0.0,,0.0,0.4,0.0,C8
82.12,3.25,0.0,,0.0,0.4,0.0,C8
82.93,1.66,0.2,1.0,0.2,0.6,0.0,C8
83.85,1.08,0.0,,0.0,0.0,0.0,C8
84.93,1.31,0.2,0.0,0.0,0.2,160.0,C8
85.92,0.7,1.0,0.6,0.6,0.0,160.0,C8
86.93,0.95,1.4,1.43,2.01,0.0,160.0,C8
87.87,1.38,2.41,0.5,1.2,0.0,160.0,C8
89.07,2.12,24.28,0.61,14.85,1.0,0.0,C8
89.92,1.68,54.58,0.33,18.06,0.8,0.0,C8
90.84,0.41,44.55,0.1,4.62,1.61,0.0,C8
91.89,0.14,7.83,0.0,0.0,3.01,0.0,C8
92.86,0.14,8.83,0.11,1.0,2.41,160.0,C8
93.92,0.18,5.02,0.28,1.4,1.2,160.0,C8
94.89,0.26,2.61,0.62,1.61,1.0,160.0,C8
96.1,0.57,8.23,0.34,2.81,0.8,160.0,C8
97.07,0.74,17.46,0.38,6.62,0.4,0.0,C8
97.87,1.08,20.47,0.37,7.63,0.4,0.0,C8
98.93,1.02,46.35,0.38,17.46,1.0,0.0,C8
99.91,0.64,23.88,0.09,2.21,0.8,0.0,C8
100.93,0.49,25.49,0.05,1.2,2.01,160.0,C8
101.88,0.36,11.04,0.05,0.6,3.01,160.0,C8
102.99,0.32,7.22,0.11,0.8,0.8,160.0,C8
103.91,0.35,4.01,0.4,1.61,0.6,160.0,C8
104.89,0.65,4.21,1.14,4.82,0.2,0.0,C8
105.92,1.54,4.01,0.05,0.2,1.81,0.0,C8
106.92,1.24,25.69,0.2,5.22,0.6,0.0,C8
107.9,0.52,9.43,0.06,0.6,0.8,0.0,C8
108.92,0.37,18.26,0.05,1.0,1.0,160.0,C8
109.94,0.12,16.66,0.16,2.61,0.4,160.0,C8
110.95,0.11,6.82,0.0,0.0,0.6,160.0,C8
111.86,0.2,2.41,0.0,0.0,0.0,160.0,C8
112.84,1.21,2.01,1.1,2.21,2.81,0.0,C8
113.91,1.76,5.22,0.65,3.41,2.21,0.0,C8
114.91,1.25,12.24,0.41,5.02,0.4,0.0,C8
115.96,0.61,13.65,0.15,2.01,0.2,0.0,C8
116.97,0.33,8.23,0.1,0.8,0.8,160.0,C8
117.94,0.21,6.42,0.22,1.4,0.8,160.0,C8
118.89,0.2,5.62,0.21,1.2,0.8,160.0,C8
119.88,0.23,5.02,0.68,3.41,0.8,160.0,C8
120.9,0.87,6.42,0.81,5.22,0.6,0.0,C8
121.91,1.22,15.05,0.85,12.84,1.2,0.0,C8
122.9,0.73,19.47,0.24,4.62,1.0,0.0,C8
123.96,0.35,18.06,0.13,2.41,2.41,0.0,C8
125.05,0.27,10.03,0.14,1.4,2.41,160.0,C8
125.89,0.16,6.42,0.16,1.0,2.01,160.0,C8
126.93,0.19,3.01,0.27,0.8,1.0,160.0,C8
127.91,0.1,1.4,0.57,0.8,0.4,160.0,C8
128.89,0.71,2.81,0.93,2.61,1.0,0.0,C8
129.9,0.9,5.42,0.33,1.81,0.4,0.0,C8
131.04,1.05,14.25,0.27,3.81,0.0,0.0,C8
131.99,0.56,9.43,0.19,1.81,0.0,0.0,C8
132.9,0.44,4.21,0.24,1.0,0.0,160.0,C8
133.92,0.68,9.43,0.85,8.03,0.0,160.0,C8
134.94,0.5,14.25,0.23,3.21,0.0,160.0,C8
135.91,0.71,20.87,0.19,4.01,0.0,160.0,C8
136.89,0.57,20.27,0.21,4.21,0.0,0.0,C8
138.02,0.57,5.22,0.04,0.2,0.0,0.0,C8
138.89,0.18,16.45,0.12,2.01,1.0,0.0,C8
139.88,0.14,8.63,0.0,0.0,1.0,0.0,C8
140.9,0.42,2.61,0.0,0.0,0.4,160.0,C8
141.89,0.29,4.01,0.05,0.2,1.0,160.0,C8
142.88,0.18,3.61,0.28,1.0,0.8,160.0,C8
143.87,0.69,6.22,0.58,3.61,0.4,160.0,C8
144.95,0.56,7.63,0.13,1.0,0.0,0.0,C8
145.97,1.0,8.43,0.38,3.21,0.0,0.0,C8
146.91,0.19,4.62,0.0,0.0,0.0,0.0,C8
147.91,0.15,15.85,0.37,5.82,0.4,0.0,C8
148.94,0.49,27.09,0.27,7.22,0.8,160.0,C8
149.9,0.57,29.7,0.18,5.22,0.6,160.0,C8
150.88,0.35,22.27,0.11,2.41,1.2,160.0,C8
151.94,0.32,25.28,0.16,4.01,1.2,160.0,C8
152.92,0.14,14.25,0.03,0.4,0.6,0.0,C8
153.9,0.16,4.82,0.0,0.0,1.61,0.0,C8
154.86,0.52,3.41,0.47,1.61,0.8,0.0,C8
155.82,1.41,7.22,0.53,3.81,0.6,0.0,C8
156.93,0.79,12.84,0.14,1.81,1.0,160.0,C8
157.9,0.48,17.06,0.25,4.21,0.8,160.0,C8
158.86,0.41,14.25,0.37,5.22,0.6,160.0,C8
159.93,0.41,12.84,0.06,0.8,0.6,160.0,C8
160.92,0.21,6.62,0.06,0.4,0.4,0.0,C8
161.89,1.5,8.23,0.34,2.81,0.2,0.0,C8
162.91,1.57,9.43,0.3,2.81,0.6,0.0,C8
163.89,1.37,23.68,0.67,15.85,0.0,0.0,C8
164.92,0.77,20.67,0.2,4.21,0.4,160.0,C8
165.84,0.15,20.27,0.06,1.2,0.6,160.0,C8
166.83,0.06,9.83,0.02,0.2,0.0,160.0,C8
167.92,0.09,1.2,0.0,0.0,1.0,160.0,C8
168.87,0.39,1.0,0.0,0.0,0.4,0.0,C8
169.89,0.72,0.4,0.0,0.0,0.4,0.0,C8
170.94,1.31,3.61,0.22,0.8,1.2,0.0,C8
171.88,2.63,2.21,0.73,1.61,0.8,0.0,C8
172.93,0.97,4.41,0.59,2.61,0.4,160.0,C8
173.82,0.42,9.23,0.11,1.0,0.2,160.0,C8
174.89,0.21,6.82,0.18,1.2,0.2,160.0,C8
175.91,0.46,6.22,1.0,6.22,0.4,160.0,C8
176.9,0.84,5.02,1.2,6.02,0.4,0.0,C8
177.94,1.07,13.85,0.48,6.62,1.0,0.0,C8
178.88,0.65,20.07,0.16,3.21,0.6,0.0,C8
179.84,0.19,19.26,0.05,1.0,0.6,0.0,C8
180.86,0.13,11.44,0.05,0.6,0.2,160.0,C8
181.86,0.13,2.21,0.18,0.4,0.6,160.0,C8
182.99,0.33,3.21,0.13,0.4,0.8,160.0,C8
0.0,1.92,16.25,0.53,8.63,0.4,160.0,C9
1.02,1.58,43.75,0.48,21.07,0.6,160.0,C9
2.05,0.62,42.94,0.1,4.41,1.81,160.0,C9
2.91,0.55,36.12,0.17,6.02,1.61,160.0,C9
4.08,1.12,42.54,0.42,17.66,1.0,160.0,C9
4.96,1.48,69.63,0.38,26.69,0.4,0.0,C9
6.02,1.61,69.03,0.44,30.3,1.61,0.0,C9
7.0,0.72,67.43,0.17,11.44,0.6,0.0,C9
7.93,0.4,41.74,0.12,5.02,0.4,0.0,C9
8.99,0.33,21.27,0.13,2.81,2.01,160.0,C9
10.07,0.15,9.23,0.24,2.21,0.4,160.0,C9
11.11,0.23,3.21,0.13,0.4,0.4,160.0,C9
11.99,0.75,1.2,1.5,1.81,0.4,160.0,C9
12.98,1.86,1.0,2.2,2.21,0.0,0.0,C9
14.0,2.78,4.82,0.33,1.61,0.0,0.0,C9
15.06,2.67,8.43,0.57,4.82,0.0,0.0,C9
16.03,1.77,7.83,0.26,2.01,0.0,0.0,C9
16.99,1.43,14.45,0.26,3.81,0.0,160.0,C9
18.04,0.57,11.04,0.24,2.61,0.2,160.0,C9
19.09,0.73,10.64,0.62,6.62,0.0,160.0,C9
19.98,0.85,11.44,0.84,9.63,0.0,160.0,C9
20.99,1.04,27.09,0.75,20.27,0.6,0.0,C9
21.95,1.69,31.3,0.53,16.45,1.0,0.0,C9
22.99,1.07,35.32,0.3,10.64,0.4,0.0,C9
24.13,0.95,30.5,0.26,8.03,0.8,0.0,C9
25.11,0.68,21.07,0.28,5.82,0.8,160.0,C9
26.0,0.24,11.84,0.19,2.21,0.4,160.0,C9
26.98,0.33,6.82,0.21,1.4,0.0,160.0,C9
27.95,0.82,6.62,0.36,2.41,0.2,160.0,C9
28.99,1.19,3.41,1.0,3.41,0.4,0.0,C9
29.96,2.04,7.83,0.56,4.41,0.0,0.0,C9
31.08,1.98,14.25,0.37,5.22,0.4,0.0,C9
32.07,1.76,15.65,0.31,4.82,0.2,0.0,C9
33.01,1.47,25.89,0.31,8.03,0.6,160.0,C9
34.0,0.44,23.48,0.13,3.01,0.2,160.0,C9
35.01,0.27,13.04,0.12,1.61,1.81,160.0,C9
36.01,0.47,7.63,0.26,2.01,0.6,160.0,C9
37.0,0.88,6.42,0.88,5.62,0.6,0.0,C9
38.09,2.21,13.85,0.64,8.83,0.2,0.0,C9
39.1,2.3,15.45,0.49,7.63,0.4,0.0,C9
39.98,1.82,29.1,0.37,10.84,0.0,0.0,C9
41.0,1.07,25.08,0.2,5.02,2.01,160.0,C9
42.0,0.33,18.86,0.27,5.02,0.0,160.0,C9
42.98,0.54,9.63,0.15,1.4,0.0,160.0,C9
44.0,0.58,8.03,0.28,2.21,0.0,160.0,C9
45.11,1.03,7.83,0.54,4.21,0.6,0.0,C9
45.9,2.3,15.45,0.74,11.44,0.4,0.0,C9
46.98,2.15,29.3,0.39,11.44,0.6,0.0,C9
48.0,1.59,41.94,0.27,11.24,0.0,0.0,C9
49.0,1.04,24.28,0.26,6.22,0.0,160.0,C9
50.01,0.41,25.89,0.25,6.42,0.2,160.0,C9
51.02,0.39,16.66,0.33,5.42,0.4,160.0,C9
52.33,0.79,14.25,0.31,4.41,0.0,160.0,C9
53.07,1.04,12.24,0.74,9.03,0.4,0.0,C9
54.0,2.04,27.09,0.46,12.44,0.2,0.0,C9
55.01,1.91,26.09,0.38,9.83,0.4,0.0,C9
56.03,1.14,33.31,0.25,8.43,0.0,0.0,C9
57.06,0.89,29.1,0.23,6.82,0.0,160.0,C9
57.97,0.36,21.67,0.17,3.61,0.0,160.0,C9
59.04,0.44,18.86,0.16,3.01,0.6,160.0,C9
59.99,0.71,19.47,0.52,10.03,0.4,160.0,C9
60.97,1.05,17.26,0.7,12.04,0.6,0.0,C9
61.99,2.23,21.87,0.74,16.25,0.4,0.0,C9
62.99,1.97,38.33,0.48,18.46,0.4,0.0,C9
64.04,1.25,37.93,0.3,11.44,0.4,0.0,C9
65.05,0.85,38.13,0.26,9.83,,160.0,C9
66.12,0.27,30.9,0.17,5.22,0.4,160.0,C9
67.06,0.43,21.67,0.19,4.01,0.6,160.0,C9
67.96,0.73,17.66,0.31,5.42,0.2,160.0,C9
68.95,1.17,15.65,0.62,9.63,0.2,0.0,C9
70.02,2.39,23.28,0.67,15.65,0.2,0.0,C9
71.05,2.1,33.91,0.46,15.65,0.4,0.0,C9
72.02,1.28,44.75,0.28,12.64,0.0,0.0,C9
73.07,0.99,42.94,0.25,10.64,0.0,160.0,C9
74.03,0.31,30.3,0.16,4.82,0.0,160.0,C9
75.0,0.36,20.67,0.09,1.81,0.2,160.0,C9
76.0,0.57,13.04,0.49,6.42,0.2,160.0,C9
77.0,0.94,9.23,0.41,3.81,0.4,0.0,C9
78.0,2.23,12.64,0.49,6.22,0.0,0.0,C9
79.01,2.25,21.07,0.39,8.23,0.0,0.0,C9
80.12,1.79,36.32,0.31,11.44,0.0,0.0,C9
81.14,1.12,33.11,0.25,8.23,0.0,160.0,C9
82.0,0.45,29.3,0.15,4.41,0.0,160.0,C9
83.01,0.45,20.47,0.2,4.01,0.8,160.0,C9
84.0,0.61,14.65,0.41,6.02,0.8,160.0,C9
85.07,1.1,12.44,0.53,6.62,0.2,0.0,C9
86.08,2.45,21.67,0.55,11.84,0.0,0.0,C9
87.19,1.24,43.95,0.29,12.64,0.0,0.0,C9
88.21,1.28,48.36,0.29,14.05,0.4,0.0,C9
89.16,0.78,44.75,0.22,9.63,0.2,160.0,C9
90.01,0.38,21.47,0.27,5.82,0.2,160.0,C9
91.14,0.39,22.07,0.14,3.01,1.61,160.0,C9
91.99,0.58,12.04,0.32,3.81,0.0,160.0,C9
92.99,0.95,14.45,0.64,9.23,0.4,0.0,C9
94.07,2.11,17.66,0.57,10.03,0.4,0.0,C9
95.09,1.86,35.12,0.35,12.24,0.4,0.0,C9
95.98,1.61,38.33,0.35,13.24,0.6,0.0,C9
96.97,0.87,49.77,0.23,11.44,0.4,160.0,C9
98.02,0.28,35.92,0.16,5.62,0.0,160.0,C9
99.03,0.34,14.05,0.23,3.21,0.0,160.0,C9
99.95,0.49,17.86,0.17,3.01,0.4,160.0,C9
101.14,0.91,12.04,0.38,4.62,1.0,0.0,C9
102.1,2.14,28.09,0.41,11.64,1.4,0.0,C9
103.11,2.24,21.27,0.38,8.03,0.0,0.0,C9
103.95,1.85,41.54,0.38,15.85,0.4,0.0,C9
105.09,1.03,44.35,0.23,10.23,0.4,160.0,C9
106.11,0.35,37.53,0.13,4.82,0.6,160.0,C9
107.02,0.4,25.28,0.12,3.01,0.4,160.0,C9
108.1,0.51,16.86,0.31,5.22,0.0,160.0,C9
109.16,0.91,15.25,0.29,4.41,0.0,0.0,C9
109.99,0.49,14.05,0.66,9.23,0.4,0.0,C9
110.97,0.89,20.27,0.45,9.03,0.0,0.0,C9
112.0,1.45,47.96,0.48,23.08,0.0,0.0,C9
113.05,0.83,43.75,0.23,10.23,0.0,160.0,C9
114.01,0.3,47.36,0.12,5.82,0.4,160.0,C9
115.1,0.32,14.05,0.11,1.61,0.6,160.0,C9
116.25,0.54,16.45,0.28,4.62,0.4,160.0,C9
116.96,0.71,18.46,0.39,7.22,0.2,0.0,C9
117.95,1.58,16.86,0.51,8.63,0.2,0.0,C9
118.95,1.67,27.09,0.5,13.44,0.2,0.0,C9
120.03,0.76,51.37,0.25,13.04,0.4,0.0,C9
120.99,0.6,39.93,0.28,11.04,0.8,160.0,C9
122.25,0.69,23.28,0.34,7.83,0.0,160.0,C9
123.34,0.77,34.31,0.38,13.04,0.4,160.0,C9
123.98,0.88,42.34,0.32,13.65,4.62,160.0,C9
124.99,0.85,40.54,0.4,16.25,0.0,0.0,C9
126.0,0.78,55.79,0.38,21.27,0.4,0.0,C9
126.96,1.27,75.05,0.18,13.44,0.2,0.0,C9
128.07,0.88,81.27,0.34,27.29,0.0,0.0,C9
129.29,0.61,74.85,0.26,19.26,0.0,160.0,C9
130.04,0.22,90.3,0.2,17.86,0.0,160.0,C9
130.96,0.25,44.15,0.14,6.02,0.6,160.0,C9
131.94,0.52,21.27,0.26,5.62,0.2,160.0,C9
133.02,0.6,19.67,0.37,7.22,0.2,0.0,C9
134.01,1.28,21.47,0.55,11.84,0.0,0.0,C9
134.97,1.34,33.91,0.44,15.05,0.0,0.0,C9
136.16,0.67,57.39,0.3,17.46,0.2,0.0,C9
137.07,0.99,52.78,0.26,13.85,0.0,160.0,C9
137.99,0.27,42.54,0.24,10.03,0.6,160.0,C9
139.01,0.32,29.9,0.18,5.42,0.0,160.0,C9
140.07,0.5,19.87,0.51,10.03,0.0,160.0,C9
