loss,mae,val_loss,val_mae,learning_rate
0.01888679526746273,0.09271126240491867,0.01715973950922489,0.10774566233158112,0.0010000000474974513
0.01879236102104187,0.09331128001213074,0.012695390731096268,0.09268650412559509,0.0010000000474974513
0.017046602442860603,0.08862249553203583,0.010865488089621067,0.08599773794412613,0.0010000000474974513
0.015772702172398567,0.08418921381235123,0.013150868937373161,0.09395535290241241,0.0010000000474974513
0.014807957224547863,0.08290581405162811,0.010138297453522682,0.08105095475912094,0.0010000000474974513
0.013439408503472805,0.07829578220844269,0.008262110874056816,0.06695594638586044,0.0010000000474974513
0.012514045462012291,0.07517609745264053,0.009458774700760841,0.07021156698465347,0.0010000000474974513
0.012793918140232563,0.07548701763153076,0.009672543033957481,0.07130461186170578,0.0010000000474974513
0.012471195310354233,0.07485466450452805,0.008281910791993141,0.06488005071878433,0.0010000000474974513
0.012072877958416939,0.07465791702270508,0.007816789671778679,0.06179799884557724,0.0010000000474974513
0.012105870060622692,0.07381398230791092,0.008555004373192787,0.06422023475170135,0.0010000000474974513
0.012141356244683266,0.07363705337047577,0.007584544830024242,0.06054414063692093,0.0010000000474974513
0.011626970954239368,0.0734037458896637,0.0071259839460253716,0.05767955631017685,0.0010000000474974513
0.01132687646895647,0.07197543233633041,0.007634003646671772,0.0612000934779644,0.0010000000474974513
0.011277935467660427,0.07137469202280045,0.00727672316133976,0.05917530506849289,0.0010000000474974513
0.01084169838577509,0.07045213878154755,0.006677762605249882,0.05540904775261879,0.0010000000474974513
0.010332870297133923,0.06880263984203339,0.007046515587717295,0.05887715145945549,0.0010000000474974513
0.010326472111046314,0.06724968552589417,0.0064676301553845406,0.055237945169210434,0.0010000000474974513
0.009796869941055775,0.06673964112997055,0.0059895263984799385,0.054088249802589417,0.0010000000474974513
0.009341852739453316,0.06420619785785675,0.005571827758103609,0.05250196158885956,0.0010000000474974513
0.00831037200987339,0.06083182245492935,0.005749408155679703,0.054404985159635544,0.0010000000474974513
0.007851243950426579,0.059683941304683685,0.005463736597448587,0.05228135734796524,0.0010000000474974513
0.007499030791223049,0.058110449463129044,0.005272713955491781,0.05141787603497505,0.0010000000474974513
0.007211438845843077,0.0564904622733593,0.0054910206235945225,0.052612680941820145,0.0010000000474974513
0.007460564840584993,0.05716525390744209,0.005591705907136202,0.052803415805101395,0.0010000000474974513
0.006751073990017176,0.05571780353784561,0.004947552923113108,0.04963189363479614,0.0010000000474974513
0.006973207928240299,0.05422409251332283,0.004783097188919783,0.049012474715709686,0.0010000000474974513
0.006599861662834883,0.05376875400543213,0.00474529480561614,0.04778074473142624,0.0010000000474974513
0.005909522995352745,0.05189373716711998,0.00467044347897172,0.04847954958677292,0.0010000000474974513
